"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2EqlS6tkEnglzr7tkKAAYD","Come Together - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","1","259946","https://p.scdn.co/mp3-preview/83090a4db6899eaca689ae35f69126dbe65d94c9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","spotify:user:avl7949","2021-10-15T05:47:37Z","0.533","0.376","9","-11.913","0","0.0393","0.0302","0.248","0.0926","0.187","165.007","4"
"spotify:track:0pNeVovbiZHkulpGeOx1Gj","Something - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","2","182293","https://p.scdn.co/mp3-preview/c6f693ae5275fa2693450cb3fcbe4321d7bf0f2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:avl7949","2021-10-15T05:47:37Z","0.396","0.338","0","-10.872","1","0.0304","0.198","0.00000262","0.138","0.377","133.522","4"
"spotify:track:2S8xyNRJX1XQdo3qnTuovI","Maxwell's Silver Hammer - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","3","207920","https://p.scdn.co/mp3-preview/787a545c1b2587147953580311df4b7a0e76e524?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:avl7949","2021-10-15T05:47:37Z","0.764","0.426","2","-11.045","1","0.0405","0.629","0.000119","0.132","0.726","131.12","4"
"spotify:track:2mxByJWOajjiVsLWjNXvDJ","Oh! Darling - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","4","207240","https://p.scdn.co/mp3-preview/370ce7da9ef9a47d066eaedef22a56086b1c0039?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:avl7949","2021-10-15T05:47:37Z","0.422","0.656","4","-8.412","1","0.0397","0.0126","0.0279","0.268","0.549","173.93","3"
"spotify:track:0suLngfo7rJoetk7Ub6N8l","Octopus's Garden - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","5","170720","https://p.scdn.co/mp3-preview/d497f6bd6a1f04ab388ade1fb9fd1fec975ba102?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","spotify:user:avl7949","2021-10-15T05:47:37Z","0.626","0.512","1","-9.15","0","0.0247","0.155","0.0000465","0.215","0.73","92.225","4"
"spotify:track:3Z25k4ZF6QENy2d9YatsM5","I Want You (She's So Heavy) - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","6","467320","https://p.scdn.co/mp3-preview/819817da335577e25e3f458a6e43e21e3cc4dc29?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:avl7949","2021-10-15T05:47:37Z","0.37","0.515","2","-9.487","0","0.0321","0.0233","0.205","0.0966","0.42","115.732","4"
"spotify:track:6dGnYIeXmHdcikdzNNDMm2","Here Comes The Sun - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","7","185733","https://p.scdn.co/mp3-preview/6902e7da51d2f17e5369d57dadf8ce7d2a123f99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","spotify:user:avl7949","2021-10-15T05:47:37Z","0.557","0.54","9","-10.484","1","0.0347","0.0339","0.00248","0.179","0.394","129.171","4"
"spotify:track:1rxoyGj1QuPoVi8fOft1Kt","Because - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","8","165666","https://p.scdn.co/mp3-preview/7b4b29004dd96e64f5907ea5bc067d9cb0d98ed4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:avl7949","2021-10-15T05:47:37Z","0.328","0.249","2","-11.777","1","0.0272","0.754","0.00000577","0.134","0.162","81.257","4"
"spotify:track:1jOLTO379yIu9aMnCkpMQl","You Never Give Me Your Money - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","9","242973","https://p.scdn.co/mp3-preview/58d1b4c2116f7a3d5e5598d1d046ee5c3f4e0ce2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:avl7949","2021-10-15T05:47:37Z","0.335","0.416","0","-11.051","1","0.0348","0.345","0.136","0.116","0.223","174.464","3"
"spotify:track:4nwKdZID1ht0lDBJ5h2p87","Sun King - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","10","146266","https://p.scdn.co/mp3-preview/557051e66827ae0777265d0309d8ddde8eea5297?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:avl7949","2021-10-15T05:47:37Z","0.483","0.177","2","-17.629","1","0.0277","0.284","0.499","0.116","0.192","74.994","4"
"spotify:track:4JOyMhad5dD81uGYLGgKrS","Mean Mr Mustard - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","11","66533","https://p.scdn.co/mp3-preview/01d0284a465ed8c9e7c9a8ec3dcb2a9ccd0ffb8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:avl7949","2021-10-15T05:47:37Z","0.676","0.596","4","-9.107","1","0.0272","0.0699","0.0000196","0.351","0.97","100.687","4"
"spotify:track:1FTCA6wQwulQFokDddKE68","Polythene Pam - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","12","72640","https://p.scdn.co/mp3-preview/87ea6659fd004f4dc9455d1156701eb2302a47c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","spotify:user:avl7949","2021-10-15T05:47:37Z","0.474","0.939","11","-8.884","0","0.199","0.00472","0.674","0.19","0.499","166.829","4"
"spotify:track:2jtUGFsqanQ82zqDlhiKIp","She Came In Through The Bathroom Window - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","13","118626","https://p.scdn.co/mp3-preview/1a339c343c06eec9cbafbd389d9b02c4cd03e50d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:avl7949","2021-10-15T05:47:37Z","0.53","0.72","2","-8.793","1","0.0338","0.00376","0.0000338","0.314","0.69","80.652","4"
"spotify:track:01SfTM5nfCou5gQL70r6gs","Golden Slumbers - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","14","91760","https://p.scdn.co/mp3-preview/3942f29931224deb0637ff9b4c8705c5bb6befb8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:avl7949","2021-10-15T05:47:37Z","0.419","0.152","0","-12.126","1","0.0277","0.326","0.0034","0.113","0.239","80.608","4"
"spotify:track:5eZrW59C3UgBhkqNlowEID","Carry That Weight - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","15","96466","https://p.scdn.co/mp3-preview/b589bc66ae65b7b1336c554229fc711a00123e9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","spotify:user:avl7949","2021-10-15T05:47:37Z","0.543","0.458","0","-8.976","1","0.0274","0.226","0.00663","0.298","0.704","84.319","4"
"spotify:track:5aHHf6jrqDRb1fcBmue2kn","The End - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","16","141613","https://p.scdn.co/mp3-preview/9e7ddaeac5596534bf1bd0402edfe8180ffd39b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","spotify:user:avl7949","2021-10-15T05:47:37Z","0.647","0.487","11","-10.119","0","0.0689","0.00101","0.285","0.138","0.222","123.444","1"
"spotify:track:6UCFZ9ZOFRxK8oak7MdPZu","Her Majesty - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","17","25986","","false","21","spotify:user:avl7949","2021-10-15T05:47:37Z","0.703","0.215","2","-23.03","1","0.0892","0.728","0.00000123","0.13","0.522","100.874","3"
